Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen_x,Playcount_LastFM_x,Listeners_LastFM_x,Biografia_Resumen_y,Playcount_LastFM_y,Listeners_LastFM_y
Nelly Furtado,Latin (Origen: latin pop),Canción,Fotografía - Duet With Juanes,2010,7LDFERi0M8S23zgA5l8JDb,1uH3MnbKQVPFZa0tuzpgoZ,The Best of Nelly Furtado (International Version),2010,Nelly Furtado,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111226578,4672523,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111440053,4679661
Belinda,Latin (Origen: latin pop),Canción,Dopamina,2010,5NpOHO4AtDL0KK2TXzgKbU,50t7ukoOOT4d6eoH6HZKYG,Carpe Diem,2010,Belinda,"Belinda Peregrín Schüll, known by artistic name Belinda (born August 15, 1989 in Madrid, Spain), is a Latin Grammy Award nominated Spanish-Mexican singer, songwriter, dancer and actress, who debuted in 2003 with the self-titled album, Belinda, under Sony BMG and RCA Records. Her international self-titled album Belinda as released in Mexico City, Mexico by BMG and RCA Records on August 5, 2003 and became a great a success in many different countries including Mexico, selling 2.5 million copies worldwide.  <a href=""https://www.last.fm/music/Belinda"">Read more on Last.fm</a>",10895958,475153,"Belinda Peregrín Schüll, known by artistic name Belinda (born August 15, 1989 in Madrid, Spain), is a Latin Grammy Award nominated Spanish-Mexican singer, songwriter, dancer and actress, who debuted in 2003 with the self-titled album, Belinda, under Sony BMG and RCA Records. Her international self-titled album Belinda as released in Mexico City, Mexico by BMG and RCA Records on August 5, 2003 and became a great a success in many different countries including Mexico, selling 2.5 million copies worldwide.  <a href=""https://www.last.fm/music/Belinda"">Read more on Last.fm</a>",10910745,475523
Juan Luis Guerra 4.40,Latin (Origen: latin pop),Canción,La Calle,2010,6akA6K3koUfyu1atnByNDr,2LqYd5gIJxEvG5md8kGeyL,Asondeguerra,2010,Juan Luis Guerra 4.40,"Juan Luis Guerra (born June 7, 1957) is a Dominican singer, songwriter, and self-producer who has sold over 30 million records, and won numerous awards including 15 Latin Grammy Awards, two Grammy Awards, and two Latin Billboard Music Awards. He recently won 3 Latin Grammy Awards in 2010, including Album of the Year.

He is one of the most internationally recognized latin artists in decades past. His pop style of merengue and bolero and Afro-pop/Latin fusion have garnered him considerable success outside the Dominican Republic. <a href=""https://www.last.fm/music/Juan+Luis+Guerra+4.40"">Read more on Last.fm</a>",5461143,242745,"Juan Luis Guerra (born June 7, 1957) is a Dominican singer, songwriter, and self-producer who has sold over 30 million records, and won numerous awards including 15 Latin Grammy Awards, two Grammy Awards, and two Latin Billboard Music Awards. He recently won 3 Latin Grammy Awards in 2010, including Album of the Year.

He is one of the most internationally recognized latin artists in decades past. His pop style of merengue and bolero and Afro-pop/Latin fusion have garnered him considerable success outside the Dominican Republic. <a href=""https://www.last.fm/music/Juan+Luis+Guerra+4.40"">Read more on Last.fm</a>",5478442,243389
Chayanne,Latin (Origen: latin pop),Canción,Tu Boca,2010,7nGiBA8aCeMbh4bQun3pFT,2Z1OKCVyqJ1lMHTU612E07,No Hay Imposibles,2010,Chayanne,"Chayanne (born June 29, 1969)is a Latin Pop singer who was born as Elmer Figueroa de Arce in San Lorenzo, Puerto Rico.

Figueroa began using the artistic name of ""Chayanne"" when he was a little kid. He auditioned for Menudo, but was told that at the time that he was too young for the group. He didn't give up and he heard that Titi Soto was trying to create a new group that would compete with Menudo, and so he went and tried out. He was chosen for the group and his meteoric rise to the top began. <a href=""https://www.last.fm/music/Chayanne"">Read more on Last.fm</a>",6944331,496422,"Chayanne (born June 29, 1969)is a Latin Pop singer who was born as Elmer Figueroa de Arce in San Lorenzo, Puerto Rico.

Figueroa began using the artistic name of ""Chayanne"" when he was a little kid. He auditioned for Menudo, but was told that at the time that he was too young for the group. He didn't give up and he heard that Titi Soto was trying to create a new group that would compete with Menudo, and so he went and tried out. He was chosen for the group and his meteoric rise to the top began. <a href=""https://www.last.fm/music/Chayanne"">Read more on Last.fm</a>",6955813,496973
Luis Miguel,Latin (Origen: latin pop),Canción,La Chica Del Bikini Azul,2010,3WYggjHWaIjvonYfDBPDV0,2oHF59HQoCwm67wXS4OzPK,La Miel De Mis Primeros Éxitos,2010,Luis Miguel,"Luis Miguel Gallego Basteri (born 19 April 1970) is a Mexican singer and icon in Latin America, often referred to as El Sol de México (The Sun of Mexico), which is the nickname his mother gave him as a child- ""mi sol"". He is widely regarded as the most successful artist in Latin American history, having successfully performed in a wide range of musical styles, including pop, ballads, boleros, tangos, jazz, big band and mariachi. Luis Miguel is also <a href=""https://www.last.fm/music/Luis+Miguel"">Read more on Last.fm</a>",35837652,827432,"Luis Miguel Gallego Basteri (born 19 April 1970) is a Mexican singer and icon in Latin America, often referred to as El Sol de México (The Sun of Mexico), which is the nickname his mother gave him as a child- ""mi sol"". He is widely regarded as the most successful artist in Latin American history, having successfully performed in a wide range of musical styles, including pop, ballads, boleros, tangos, jazz, big band and mariachi. Luis Miguel is also <a href=""https://www.last.fm/music/Luis+Miguel"">Read more on Last.fm</a>",35976243,829907
El Guincho,Latin (Origen: latin pop),Canción,Bombay,2010,60aWOhenofxdFViDXn3lfp,5GDOwdJ0okcBaqmyPlNSsC,Pop Negro,2010,El Guincho,"El Guincho is Pablo Díaz-Reixa, a native of Las Palmas de Gran Canaria living in Barcelona, Spain. Also a member of Coconot, Díaz-Reixa rose to prominence with his 2007 album, Alegranza. His musical style relies heavily on the use of sampling and incorporates elements of Afrobeat, dub, Tropicália and Rock. <a href=""https://www.last.fm/music/El+Guincho"">Read more on Last.fm</a>",4354541,211494,"El Guincho is Pablo Díaz-Reixa, a native of Las Palmas de Gran Canaria living in Barcelona, Spain. Also a member of Coconot, Díaz-Reixa rose to prominence with his 2007 album, Alegranza. His musical style relies heavily on the use of sampling and incorporates elements of Afrobeat, dub, Tropicália and Rock. <a href=""https://www.last.fm/music/El+Guincho"">Read more on Last.fm</a>",4354988,211511
Oki y Los Pibes De Oro,Latin (Origen: latin pop),Canción,Popurri,2010,2ReQMgQnU9Ds0VjOtgVPg6,538vGjWskok8gwUOcJZ6fa,Peleas y Besos,2010,Oki y Los Pibes De Oro," <a href=""https://www.last.fm/music/Oki+y+Los+Pibes+De+Oro"">Read more on Last.fm</a>",88,18," <a href=""https://www.last.fm/music/Oki+y+Los+Pibes+De+Oro"">Read more on Last.fm</a>",88,18
Julieta Venegas,Latin (Origen: latin pop),Canción,Amores Platónicos,2010,3dyr9NVX6cZwYelfZLFUYQ,7rrYlu3nL2ZfW7RR9tSDMO,Otra Cosa,2010,Julieta Venegas,"Julieta Venegas (born November 24, 1970) is a successful Mexican singer and songwriter of Latin music. She was born in Long Beach, California, but raised in Tijuana, Baja California and has a twin sister Yvonne who is a photographer. She was a former member of the band ""Tijuana No"". Julieta plays numerous instruments including acoustic guitar, accordion, and keyboard. She won the 2004 Latin Grammy for Best Vocal Rock Album (Sí).
Albums. She is radicated in Mexico City <a href=""https://www.last.fm/music/Julieta+Venegas"">Read more on Last.fm</a>",19861416,778276,"Julieta Venegas (born November 24, 1970) is a successful Mexican singer and songwriter of Latin music. She was born in Long Beach, California, but raised in Tijuana, Baja California and has a twin sister Yvonne who is a photographer. She was a former member of the band ""Tijuana No"". Julieta plays numerous instruments including acoustic guitar, accordion, and keyboard. She won the 2004 Latin Grammy for Best Vocal Rock Album (Sí).
Albums. She is radicated in Mexico City <a href=""https://www.last.fm/music/Julieta+Venegas"">Read more on Last.fm</a>",19893393,779103
Oki y Los Pibes De Oro,Latin (Origen: latin pop),Canción,Popurri de El Tiempo,2010,2plTlVgelhZ0GZk0FNqyN3,538vGjWskok8gwUOcJZ6fa,Peleas y Besos,2010,Oki y Los Pibes De Oro," <a href=""https://www.last.fm/music/Oki+y+Los+Pibes+De+Oro"">Read more on Last.fm</a>",88,18," <a href=""https://www.last.fm/music/Oki+y+Los+Pibes+De+Oro"">Read more on Last.fm</a>",88,18
Antonio Orozco,Latin (Origen: spanish pop),Canción,Ya Lo Sabes,2010,7Cgva5oPX7e412mUlDLreF,5qe341vXwMqhKUljw13rjm,Renovatio 2011,2010,Antonio Orozco,"Antonio Orozco is a Spanish singer-songwriter from Barcelona, Spain.
He has won several prizes like the Premio Onda and sold lots of records, his first album sold more than 100,000 copies, whereas his second album titled Semilla del Silencio sold over 300,000 copies.
In 2005 he released a self titled album Antonio Orozco, which was a compilation of his best songs (twelve in total) that eventually propelled him into stardom outside Spain, mainly in Latin America and other parts of the world. <a href=""https://www.last.fm/music/Antonio+Orozco"">Read more on Last.fm</a>",1425109,117936,"Antonio Orozco is a Spanish singer-songwriter from Barcelona, Spain.
He has won several prizes like the Premio Onda and sold lots of records, his first album sold more than 100,000 copies, whereas his second album titled Semilla del Silencio sold over 300,000 copies.
In 2005 he released a self titled album Antonio Orozco, which was a compilation of his best songs (twelve in total) that eventually propelled him into stardom outside Spain, mainly in Latin America and other parts of the world. <a href=""https://www.last.fm/music/Antonio+Orozco"">Read more on Last.fm</a>",1425738,117984
De Jeugd Van Tegenwoordig,Latin (Origen: spanish pop),Canción,Get Spanish,2010,7yHDSgozeHWY4uqDy65nKl,11rfbdYl1pFjo4sVoPWuKB,De Lachende Derde,2010,De Jeugd Van Tegenwoordig,"De Jeugd van Tegenwoordig (""Today's Youth"") is a hip-hop group formed in Amsterdam, The Netherlands in 2005.

The group is a 4-piece made up of Vieze Fur a.k.a. Vieze Freddie (Freddie Tratlehner), P. Fabergé (Pepijn Lanen) a.k.a. Faberyayo, Willie Wartaal a.k.a. WiWa (Ollicio Locadia) and 'de Neger des Heils' (Bas Bron, Majoor Vloshard, Bastian, Seymour Bits,  Fatima Yamaha). 

They are known most notably for their chart-topping single Watskeburt?!, which then became Dutch slang for ""what's up?!"". <a href=""https://www.last.fm/music/De+Jeugd+van+Tegenwoordig"">Read more on Last.fm</a>",9366598,178727,"De Jeugd van Tegenwoordig (""Today's Youth"") is a hip-hop group formed in Amsterdam, The Netherlands in 2005.

The group is a 4-piece made up of Vieze Fur a.k.a. Vieze Freddie (Freddie Tratlehner), P. Fabergé (Pepijn Lanen) a.k.a. Faberyayo, Willie Wartaal a.k.a. WiWa (Ollicio Locadia) and 'de Neger des Heils' (Bas Bron, Majoor Vloshard, Bastian, Seymour Bits,  Fatima Yamaha). 

They are known most notably for their chart-topping single Watskeburt?!, which then became Dutch slang for ""what's up?!"". <a href=""https://www.last.fm/music/De+Jeugd+van+Tegenwoordig"">Read more on Last.fm</a>",9373671,178816
John Prine,Latin (Origen: spanish pop),Canción,Spanish Pipedream - Live,2010,67qJ83yzH4nKA63Wkj2EjG,2rYqpL4L9tB4GttZUnYZCo,In Person & On Stage (Live),2010,John Prine,"John Edward Prine (October 10, 1946 – April 7, 2020) was an American singer-songwriter of country-folk music. He was active as a composer, recording artist, live performer, and occasional actor from the early 1970s until his death. He was known for an often humorous style of original music that has elements of protest and social commentary.

Born and raised in Maywood, Illinois, Prine learned to play the guitar at age 14. He attended classes at Chicago's Old Town School of Folk Music. <a href=""https://www.last.fm/music/John+Prine"">Read more on Last.fm</a>",11660622,512431,,,
Kevin Pabst,Latin (Origen: spanish pop),Canción,Spanish Eyes,2010,52YaqlPisu5k8YblZYaJEo,56oMvDRGQfmJHuJFt0oKAx,Popular Songs,2010,Kevin Pabst," <a href=""https://www.last.fm/music/Kevin+Pabst"">Read more on Last.fm</a>",4462,556," <a href=""https://www.last.fm/music/Kevin+Pabst"">Read more on Last.fm</a>",4484,556
Bert Kaempfert,Latin (Origen: spanish pop),Canción,Spanish Eyes,2010,5TlY1mVM0dL8nce0hfYmBX,1GAaPEO2DbckkYOUM9uk5s,100 Best Placido Domingo,2010,Plácido Domingo,"Bert Kaempfert (also Kämpfert) (b. 16 October 1923 - d. 21 June 1980) was a German orchestra leader and songwriter. He made easy listening and jazz-oriented records, and wrote the music for a number of well-known songs, such as ""Strangers in the Night"" (originally recorded by Ivo Robić) and ""Spanish Eyes"".

He was born in Hamburg, Germany, and studied at the School of Music there. A multi-instrumentalist, he was hired by Hans Busch to play with his orchestra before serving as a bandsman in the German Navy during World War II. <a href=""https://www.last.fm/music/Bert+Kaempfert"">Read more on Last.fm</a>",1491751,168713,"Bert Kaempfert (also Kämpfert) (b. 16 October 1923 - d. 21 June 1980) was a German orchestra leader and songwriter. He made easy listening and jazz-oriented records, and wrote the music for a number of well-known songs, such as ""Strangers in the Night"" (originally recorded by Ivo Robić) and ""Spanish Eyes"".

He was born in Hamburg, Germany, and studied at the School of Music there. A multi-instrumentalist, he was hired by Hans Busch to play with his orchestra before serving as a bandsman in the German Navy during World War II. <a href=""https://www.last.fm/music/Bert+Kaempfert"">Read more on Last.fm</a>",1492757,168842
2 minutos,Latin (Origen: spanish pop),Canción,Melodía de barrio,2010,5Saphxus6UX3TAbwApPJXJ,5ak3UleVbbRDoLwUS8Nxui,"Vamos a la Granja, Directo al Infierno",2010,2 minutos,"Los integrantes de Dos Minutos se juntaron en 1987 y comenzaron a tocar en el '89, en plena hiperinflación: «en esas circunstancias empezamos nosotros, Alfonsín dejaba el gobierno, asumía Menem y debutábamos la noche en que la gente salìa a saquear mercados para poder comer...».

Ya habían grabado los temas ""Ya no sos igual"" y ""Arrebato"" en un álbum independiente junto a otras bandas.

""Valentín Alsina"" (1994) es el título del primer disco, en homenaje a su ciudad de origen. <a href=""https://www.last.fm/music/2+Minutos"">Read more on Last.fm</a>",2477943,70603,"Los integrantes de Dos Minutos se juntaron en 1987 y comenzaron a tocar en el '89, en plena hiperinflación: «en esas circunstancias empezamos nosotros, Alfonsín dejaba el gobierno, asumía Menem y debutábamos la noche en que la gente salìa a saquear mercados para poder comer...».

Ya habían grabado los temas ""Ya no sos igual"" y ""Arrebato"" en un álbum independiente junto a otras bandas.

""Valentín Alsina"" (1994) es el título del primer disco, en homenaje a su ciudad de origen. <a href=""https://www.last.fm/music/2+Minutos"">Read more on Last.fm</a>",2481321,70670
Bert Kaempfert,Latin (Origen: spanish pop),Canción,Spanish Eyes,2010,4QjKdK9BKlOlfLpIRkHJ4u,0XaDMFH9L9ON94FogLsgxG,Passion: The Love Album,2010,Plácido Domingo,"Bert Kaempfert (also Kämpfert) (b. 16 October 1923 - d. 21 June 1980) was a German orchestra leader and songwriter. He made easy listening and jazz-oriented records, and wrote the music for a number of well-known songs, such as ""Strangers in the Night"" (originally recorded by Ivo Robić) and ""Spanish Eyes"".

He was born in Hamburg, Germany, and studied at the School of Music there. A multi-instrumentalist, he was hired by Hans Busch to play with his orchestra before serving as a bandsman in the German Navy during World War II. <a href=""https://www.last.fm/music/Bert+Kaempfert"">Read more on Last.fm</a>",1491751,168713,"Bert Kaempfert (also Kämpfert) (b. 16 October 1923 - d. 21 June 1980) was a German orchestra leader and songwriter. He made easy listening and jazz-oriented records, and wrote the music for a number of well-known songs, such as ""Strangers in the Night"" (originally recorded by Ivo Robić) and ""Spanish Eyes"".

He was born in Hamburg, Germany, and studied at the School of Music there. A multi-instrumentalist, he was hired by Hans Busch to play with his orchestra before serving as a bandsman in the German Navy during World War II. <a href=""https://www.last.fm/music/Bert+Kaempfert"">Read more on Last.fm</a>",1492757,168842
Camila,Latin (Origen: spanish pop),Canción,Abrázame - Versión Acústica,2010,64jazlN0IptURNCcXlWrZ1,1keLgxOT1qqp6O8kEZALyq,Sesión Acústica,2010,Various Artists,"There are 2 artists that perform under the name ""Camila"":

1. A Mexican soft rock group.
2. An English speaking VTuber.

1. Camila is a Mexican soft rock group formed in 2005 which reached success in their home country and all over Latin America upon the release of their debut album Todo Cambió. (Not to be confused with South Korean pop group Camila, which can be found here: 카밀라)

The group includes Mario Domm (producer and composer) from Mexico City <a href=""https://www.last.fm/music/Camila"">Read more on Last.fm</a>",10352194,491730,"There are 2 artists that perform under the name ""Camila"":

1. A Mexican soft rock group.
2. An English speaking VTuber.

1. Camila is a Mexican soft rock group formed in 2005 which reached success in their home country and all over Latin America upon the release of their debut album Todo Cambió. (Not to be confused with South Korean pop group Camila, which can be found here: 카밀라)

The group includes Mario Domm (producer and composer) from Mexico City <a href=""https://www.last.fm/music/Camila"">Read more on Last.fm</a>",10374095,492411
Módulos & Los Iberos,Latin (Origen: spanish pop),Canción,Isabel (Spanish Pop),2010,1hyth6mcnv68LQxY5Kb0TN,34FRjQgzXPIYpO0XmagPX0,Módulos & Los Iberos 30 Años Después,2010,Módulos & Los Iberos," <a href=""https://www.last.fm/music/M%C3%B3dulos+&+Los+Iberos"">Read more on Last.fm</a>",1432,334," <a href=""https://www.last.fm/music/M%C3%B3dulos+&+Los+Iberos"">Read more on Last.fm</a>",1432,334
Nelly Furtado,Latin (Origen: spanish pop),Canción,Fotografía - Duet With Juanes,2010,4oyLaR5i04DYdqEAByke6d,472G6dTzOLZxPoBWvH5atQ,The Best of Nelly Furtado (Spanish Version),2010,Nelly Furtado,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111226578,4672523,"Nelly Kim Furtado (born December 2, 1978 in Victoria, British Columbia) is a Canadian singer and songwriter. Furtado has sold over 40 million records worldwide, making her one of the most successful Canadian artists. She is widely known for her musical versatility and genre experimentation.

She first gained fame with her trip hop-inspired debut album, Whoa, Nelly! (2000), which was a critical and commercial success that spawned two top-10 singles on the Billboard Hot 100, ""I'm Like a Bird"" and ""Turn Off the Light"". <a href=""https://www.last.fm/music/Nelly+Furtado"">Read more on Last.fm</a>",111440053,4679661
Michael Marc,Latin (Origen: spanish pop),Canción,Stardust (Poeira De Estrelas),2010,1JqrHvVu7k82bDwY3ToGzi,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Spanish Harlem Orchestra,Latin (Origen: spanish pop),Canción,Regalo De Dios,2010,1tatNj12nC3OGFFg0Sedoi,6APptXUs4Fww2xxIYZ5zKK,Viva La Tradición,2010,Spanish Harlem Orchestra,"Spanish Harlem Orchestra, the two-time Grammy winning Salsa and Latin Jazz band, sets the standard for excellence for authentic, New York style, hard core salsa. Live or recorded, it doesn't get any better.

Whether a concert hall or an outdoor jazz festival, there is no easing you in, they are coming at you full force from start to finish. Their energy on stage, rich sound and musical precision leave audiences mesmerized until the last note is played. <a href=""https://www.last.fm/music/Spanish+Harlem+Orchestra"">Read more on Last.fm</a>",275682,54082,"Spanish Harlem Orchestra, the two-time Grammy winning Salsa and Latin Jazz band, sets the standard for excellence for authentic, New York style, hard core salsa. Live or recorded, it doesn't get any better.

Whether a concert hall or an outdoor jazz festival, there is no easing you in, they are coming at you full force from start to finish. Their energy on stage, rich sound and musical precision leave audiences mesmerized until the last note is played. <a href=""https://www.last.fm/music/Spanish+Harlem+Orchestra"">Read more on Last.fm</a>",275796,54094
Charo,Latin (Origen: spanish pop),Canción,Esta Vez Ya No Vuelvo,2010,74Ba34UWor2zMJEvrnWoL7,2gSFWPqXo73QisLT5NbmPG,Spanish Pop: Loca De Amor,2010,Charo,"Maria Rosario Pilar Martinez Molina Baeza (born January 15, 1945), better known as Charo, is a Spanish-American actress, comedienne, and flamenco guitarist, best known for her flamboyant stage presence, her provocative outfits, and her trademark phrase (""cuchi-cuchi"").

 <a href=""https://www.last.fm/music/Charo"">Read more on Last.fm</a>",108117,19047,"Maria Rosario Pilar Martinez Molina Baeza (born January 15, 1945), better known as Charo, is a Spanish-American actress, comedienne, and flamenco guitarist, best known for her flamboyant stage presence, her provocative outfits, and her trademark phrase (""cuchi-cuchi"").

 <a href=""https://www.last.fm/music/Charo"">Read more on Last.fm</a>",108180,19058
Michael Marc,Latin (Origen: spanish pop),Canción,Besame Mucho,2010,42QylFh1g7nR31S0LhB1zb,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Michael Marc,Latin (Origen: spanish pop),Canción,Aubrey (Bread/David Gates Cover),2010,2q76iFFZB098M4POe61ilS,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Amaury Gutiérrez,Latin (Origen: spanish pop),Canción,Remolino,2010,5LiTkoKPAOZ1CUBcTnwgWb,4oZVAbazCKoqmjRpGAwD5A,Sesiones Íntimas,2010,Amaury Gutiérrez,"De nacionalidad cubana, Amaury Gutiérrez ve la primer luz el 9 de Septiembre de 1963, en Santa Clara, Cuba. Cuando se encontraba cursando la secundaria decidió dedicarse a la música y su oportunidad llegó al responder a una convocatoria de la Escuela de Instructores de Arte, institución donde obtuvo una beca.

En sus composiciones, Amaury Gutiérrez pone énfasis especial en el aspecto vocal, no sólo por su pasado académico, sino por el particular sentimiento que le imprime a sus interpretaciones. <a href=""https://www.last.fm/music/+noredirect/Amaury+Guti%C3%A9rrez"">Read more on Last.fm</a>",54877,7317,"De nacionalidad cubana, Amaury Gutiérrez ve la primer luz el 9 de Septiembre de 1963, en Santa Clara, Cuba. Cuando se encontraba cursando la secundaria decidió dedicarse a la música y su oportunidad llegó al responder a una convocatoria de la Escuela de Instructores de Arte, institución donde obtuvo una beca.

En sus composiciones, Amaury Gutiérrez pone énfasis especial en el aspecto vocal, no sólo por su pasado académico, sino por el particular sentimiento que le imprime a sus interpretaciones. <a href=""https://www.last.fm/music/+noredirect/Amaury+Guti%C3%A9rrez"">Read more on Last.fm</a>",54917,7325
Charo,Latin (Origen: spanish pop),Canción,Ingrato Amor,2010,2N32V0es0yOfqtvryeTDDw,2gSFWPqXo73QisLT5NbmPG,Spanish Pop: Loca De Amor,2010,Charo,"Maria Rosario Pilar Martinez Molina Baeza (born January 15, 1945), better known as Charo, is a Spanish-American actress, comedienne, and flamenco guitarist, best known for her flamboyant stage presence, her provocative outfits, and her trademark phrase (""cuchi-cuchi"").

 <a href=""https://www.last.fm/music/Charo"">Read more on Last.fm</a>",108117,19047,"Maria Rosario Pilar Martinez Molina Baeza (born January 15, 1945), better known as Charo, is a Spanish-American actress, comedienne, and flamenco guitarist, best known for her flamboyant stage presence, her provocative outfits, and her trademark phrase (""cuchi-cuchi"").

 <a href=""https://www.last.fm/music/Charo"">Read more on Last.fm</a>",108180,19058
Michael Marc,Latin (Origen: spanish pop),Canción,Killing Me Softly (Roberta Flack Cover),2010,4GwKbuaDXxytLL5MPQaYkF,7r9xDXjAuK3mDY6GzZhZ3j,Popular Romantic Hits on Spanish Acoustic Guitar,2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Los Angeles,Latin (Origen: spanish pop),Canción,Mónica,2010,6mEuHPSdb4jlaNC52sEb7b,75vcvfORa4otql73VM8txK,Spanish Pop Story (Vol. 9),2010,Los Angeles,"LOS ANGELES presents the shining talents of Michele Luppi: an Italian amazing singer who cut his teeth at the VIT Los Angeles, with Robin Randall (co-writer of hits for FM, Mark Free, James Christian etc) as one of his musical coaches.

Upon his return to Italy, he gathered considerable experience having the opportunity to sing alongside some of the most important national and international artists, including: Maurizio Solieri, Andrea Braido, Umberto Tozzi, Glenn Hughes and Ian Paice of Deep Purple. <a href=""https://www.last.fm/music/LOS+ANGELES"">Read more on Last.fm</a>",124460,11778,"LOS ANGELES presents the shining talents of Michele Luppi: an Italian amazing singer who cut his teeth at the VIT Los Angeles, with Robin Randall (co-writer of hits for FM, Mark Free, James Christian etc) as one of his musical coaches.

Upon his return to Italy, he gathered considerable experience having the opportunity to sing alongside some of the most important national and international artists, including: Maurizio Solieri, Andrea Braido, Umberto Tozzi, Glenn Hughes and Ian Paice of Deep Purple. <a href=""https://www.last.fm/music/LOS+ANGELES"">Read more on Last.fm</a>",124524,11790
Michael Marc,Latin (Origen: spanish pop),Canción,Hotel California (Eagles - Instrumental),2010,0MxAqiS9fS9ygV5WqzLD94,0TfmOq6SalVkpHy1HVizCd,"Popular Romantic Hits on Spanish Acoustic Guitar, Vol. 2",2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
Ryan,Latin (Origen: spanish pop),Canción,Rush Love - Spanish Radio Edit,2010,3oKS1LIXpwytH4mPjhV7Eu,1IeffKOuJTqW1GfWvx7Z4J,Rush Love,2010,Ryan,"1. RYAN is an American soloist under WAYF. He made his debut on July 31st, 2025, with the digital single, “AROJIN“. He is known for competing in the survival show, BOYS II PLANET.

2.RYAN es una banda de Garage Rock/Alternativo argentina. Sus integrantes son Dante, Mou, Tortu, Cata y Agus. 
En enero de 2022 presentaron su disco debut ""BAR'CELONA"".
A lo largo de este año, la banda comenzó a pisar fuerte en varios escenarios del circuito alternativo porteño como lo son Moscú y El Emergente <a href=""https://www.last.fm/music/Ryan"">Read more on Last.fm</a>",1952138,293784,"1. RYAN is an American soloist under WAYF. He made his debut on July 31st, 2025, with the digital single, “AROJIN“. He is known for competing in the survival show, BOYS II PLANET.

2.RYAN es una banda de Garage Rock/Alternativo argentina. Sus integrantes son Dante, Mou, Tortu, Cata y Agus. 
En enero de 2022 presentaron su disco debut ""BAR'CELONA"".
A lo largo de este año, la banda comenzó a pisar fuerte en varios escenarios del circuito alternativo porteño como lo son Moscú y El Emergente <a href=""https://www.last.fm/music/Ryan"">Read more on Last.fm</a>",1953925,293889
Michael Marc,Latin (Origen: spanish pop),Canción,Desperado (Eagles - Instrumental),2010,43W6uN68GBstgt4oUwuMB1,0TfmOq6SalVkpHy1HVizCd,"Popular Romantic Hits on Spanish Acoustic Guitar, Vol. 2",2010,Michael Marc," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112829,19037," <a href=""https://www.last.fm/music/Michael+Marc"">Read more on Last.fm</a>",112858,19044
